frame,timestamp_sec,time_formatted,face_detected,mp_left_cx,mp_left_cy,mp_right_cx,mp_right_cy,left_edge_L_x,left_edge_L_y,left_edge_R_x,left_edge_R_y,left_center_x,left_center_y,left_confidence,left_method,edge_left_cx,edge_left_cy,right_edge_L_x,right_edge_L_y,right_edge_R_x,right_edge_R_y,right_center_x,right_center_y,right_confidence,right_method,edge_right_cx,edge_right_cy,gaze_x,gaze_y,left_deviation,right_deviation,left_jitter,right_jitter
1,0.03333333333333333,00:00.033,True,752.7347412109375,582.6329956054688,1218.565673828125,547.2136840820312,700.0,584.0,703.0,586.0,701.5,585.0,0.05,edge_band,701.5,585.0,1256.0,547.0,1261.0,544.0,1258.5,545.5,0.0625,edge_band,1258.5,545.5,980.0,565.25,51.289388929441024,39.97107854355081,,
2,0.06666666666666667,00:00.067,True,753.32861328125,582.1707153320312,1221.5841064453125,549.8604736328125,703.0,579.0,703.0,579.0,703.0,579.0,0.0625,edge_band,703.0,579.0,1177.0,553.0,1177.0,553.0,1177.0,553.0,0.0125,edge_band,1177.0,553.0,940.0,566.0,50.4283923056287,44.69450943166533,,
3,0.1,00:00.100,True,754.8140258789062,580.9967041015625,1223.305908203125,550.4334106445312,747.0,578.0,793.0,578.0,770.0,578.0,0.15,edge_band,770.0,578.0,1171.0,552.0,1264.0,547.0,1217.5,549.5,0.3125,edge_band,1217.5,549.5,993.75,563.75,15.478825713821143,5.880461333470224,,
4,0.13333333333333333,00:00.133,True,754.6246337890625,579.4530029296875,1223.3787841796875,548.5289916992188,704.0,577.0,799.0,576.0,751.5,576.5,0.3375,edge_band,751.5,576.5,1170.0,546.0,1267.0,550.0,1218.5,548.0,0.6875,edge_band,1218.5,548.0,985.0,562.25,4.299251402104096,4.907378861450517,,
5,0.16666666666666666,00:00.167,True,755.3796997070312,578.1282348632812,1223.3507080078125,548.7654418945312,703.0,575.0,799.0,580.0,751.0,577.5,0.3,edge_band,751.0,577.5,1169.0,552.0,1265.0,546.0,1217.0,549.0,0.45,edge_band,1217.0,549.0,984.0,563.25,4.424528061523808,6.3550381356318315,34.58504912733336,31.53539324752024
6,0.2,00:00.200,True,753.31298828125,579.6941528320312,1224.6082763671875,550.5122680664062,701.0,577.0,799.0,581.0,750.0,579.0,0.375,edge_band,750.0,579.0,1175.0,553.0,1268.0,548.0,1221.5,550.5,0.4125,edge_band,1221.5,550.5,985.75,564.75,3.3849282866726784,3.1083005775294112,26.02162970423189,20.60086815731205
7,0.23333333333333334,00:00.233,True,752.120849609375,582.8762817382812,1224.993896484375,553.212646484375,700.0,580.0,799.0,583.0,749.5,581.5,0.4375,edge_band,749.5,581.5,1171.0,550.0,1269.0,550.0,1220.0,550.0,0.3125,edge_band,1220.0,550.0,984.75,565.75,2.9602371692294436,5.938021516483418,10.660369488111877,2.812444755416079
8,0.26666666666666666,00:00.267,True,750.6504516601562,583.560546875,1224.1534423828125,554.1082763671875,698.0,585.0,797.0,583.0,747.5,584.0,0.55,edge_band,747.5,584.0,1171.0,551.0,1267.0,553.0,1219.0,552.0,0.3625,edge_band,1219.0,552.0,983.25,568.0,3.180953428149104,5.568015592058763,4.610927447159927,3.1973487202078337
9,0.3,00:00.300,True,750.6089477539062,583.7255249023438,1223.3011474609375,553.8206176757812,698.0,581.0,796.0,584.0,747.0,582.5,0.275,edge_band,747.0,582.5,1168.0,553.0,1268.0,557.0,1218.0,555.0,0.7125,edge_band,1218.0,555.0,982.5,568.75,3.8113534573284626,5.430755662822967,4.327121969169175,4.080948425643397
10,0.3333333333333333,00:00.333,True,751.00732421875,583.3824462890625,1223.3199462890625,553.9519653320312,700.0,583.0,798.0,580.0,749.0,581.5,0.175,edge_band,749.0,581.5,1170.0,553.0,1269.0,551.0,1219.5,552.0,0.5375,edge_band,1219.5,552.0,984.25,566.75,2.7519001708611226,4.28977368969206,3.117676163435143,3.243576779516769
